geoid,geo_id_acs12,tot_pop_acs12,nh_white_acs12,nh_black_acs12,nh_aian_acs12,nh_asian_acs12,nh_haw_pi_acs12,nh_other_acs12,nh_two_plus_acs12,hispanic_acs12,geo_id_acs19,tot_pop_acs19,nh_white_acs19,nh_black_acs19,nh_aian_acs19,nh_asian_acs19,nh_haw_pi_acs19,nh_other_acs19,nh_two_plus_acs19,hispanic_acs19,interp_flag,tot_pop_change,nh_white_change,nh_black_change,nh_aian_change,nh_asian_change,nh_haw_pi_change,nh_other_change,nh_two_plus_change,hispanic_change,pct_tot_pop_change,pct_nh_white_change,pct_nh_black_change,pct_nh_aian_change,pct_nh_asian_change,pct_nh_haw_pi_change,pct_nh_other_change,pct_nh_two_plus_change,pct_hispanic_change,tot_pop_inc,nh_white_inc,nh_black_inc,nh_aian_inc,nh_asian_inc,nh_haw_pi_inc,nh_other_inc,nh_two_plus_inc,hispanic_inc
38039,610U300US38039,15394,14616,1,239,104,0,4,140,290,610U600US38039,22530,19816,304,492,134,3,4,378,1399,0,7136,5200,303,253,30,3,0,238,1109,46.3557,35.5774,30300,105.8577,28.8462,0,0,170,382.4138,1,1,1,1,1,1,0,1,1
9032,610U300US09032,92778,85353,911,170,1463,0,106,1207,3568,610U600US09032,93557,81948,1686,96,2014,9,97,896,6811,0,779,-3405,775,-74,551,9,-9,-311,3243,0.8396,-3.9893,85.0714,-43.5294,37.6623,0,-8.4906,-25.7664,90.8913,1,0,1,0,1,1,0,0,1
27067,610U300US27067,80367,33670,12868,1037,18892,25,208,3387,10280,610U600US27067,88567,30316,15063,463,28017,16,101,4128,10463,0,8200,-3354,2195,-574,9125,-9,-107,741,183,10.2032,-9.9614,17.0578,-55.352,48.3009,-36,-51.4423,21.8778,1.7802,1,0,1,0,1,0,0,1,1
27050,610U300US27050,78945,54862,7003,535,4976,39,97,2170,9263,610U600US27050,81912,53978,8892,277,4751,25,387,2562,11040,0,2967,-884,1889,-258,-225,-14,290,392,1777,3.7583,-1.6113,26.9742,-48.2243,-4.5217,-35.8974,298.9691,18.0645,19.1838,1,0,1,0,0,0,1,1,1
27026,610U300US27026,79653,66168,3695,114,3671,0,166,1551,4288,610U600US27026,85846,69314,4643,232,4292,113,169,2023,5060,0,6193,3146,948,118,621,113,3,472,772,7.775,4.7546,25.6563,103.5088,16.9164,0,1.8072,30.432,18.0037,1,1,1,1,1,1,1,1,1
34013,610U300US34013,224320,185613,5604,136,15604,0,187,2233,14943,610U600US34013,220330,178543,6076,157,16173,42,370,3123,15846,0,-3990,-7070,472,21,569,42,183,890,903,-1.7787,-3.809,8.4226,15.4412,3.6465,0,97.861,39.8567,6.043,0,0,1,1,1,1,1,1,1
4027,610U300US04027,195123,39823,27718,7219,5196,825,547,2348,111447,610U600US04027,231442,46536,36861,8911,6677,501,364,4540,127052,0,36319,6713,9143,1692,1481,-324,-183,2192,15605,18.6134,16.8571,32.9858,23.4381,28.5027,-39.2727,-33.4552,93.356,14.0022,1,1,1,1,1,0,0,1,1
19039,610U300US19039,59881,55041,1018,26,715,22,16,816,2227,610U600US19039,67402,60407,1442,138,1162,19,0,998,3236,0,7521,5366,424,112,447,-3,-16,182,1009,12.5599,9.7491,41.6503,430.7692,62.5175,-13.6364,-100,22.3039,45.3076,1,1,1,1,1,0,0,1,1
10008,610U300US10008,44394,36062,2239,93,3554,0,80,795,1571,610U600US10008,44961,33959,2956,90,3802,16,87,1249,2802,0,567,-2103,717,-3,248,16,7,454,1231,1.2772,-5.8316,32.0232,-3.2258,6.9781,0,8.75,57.1069,78.3577,1,0,1,0,1,1,1,1,1
56002,610U300US56002,19597,17876,30,97,61,5,0,193,1335,610U600US56002,19045,17009,1,17,100,0,0,463,1455,0,-552,-867,-29,-80,39,-5,0,270,120,-2.8168,-4.8501,-96.6667,-82.4742,63.9344,-100,0,139.8964,8.9888,0,0,0,0,1,0,0,1,1
29028,610U300US29028,177620,165165,1782,490,810,102,192,3676,5403,610U600US29028,178175,163684,2113,1356,686,40,112,3527,6657,0,555,-1481,331,866,-124,-62,-80,-149,1254,0.3125,-0.8967,18.5746,176.7347,-15.3086,-60.7843,-41.6667,-4.0533,23.2093,1,0,1,1,0,0,0,0,1
17011,610U300US17011,209781,55204,10299,307,3461,0,60,878,139572,610U600US17011,214767,45861,12095,117,3943,0,200,1157,151394,0,4986,-9343,1796,-190,482,0,140,279,11822,2.3768,-16.9245,17.4386,-61.8893,13.9266,0,233.3333,31.7768,8.4702,1,0,1,0,1,0,1,1,1
5002,610U300US05002,82331,69597,549,1894,1705,64,65,2375,6082,610U600US05002,90888,74974,536,2180,1530,157,201,3205,8105,0,8557,5377,-13,286,-175,93,136,830,2023,10.3934,7.7259,-2.3679,15.1003,-10.2639,145.3125,209.2308,34.9474,33.2621,1,1,0,1,0,1,1,1,1
29023,610U300US29023,180171,159682,7646,259,3953,51,244,2259,6077,610U600US29023,187894,160098,10184,333,5090,93,367,4782,6947,0,7723,416,2538,74,1137,42,123,2523,870,4.2865,0.2605,33.1938,28.5714,28.763,82.3529,50.4098,111.6866,14.3163,1,1,1,1,1,1,1,1,1
17042,610U300US17042,216564,86850,20099,179,14618,50,1005,3947,89816,610U600US17042,221707,79138,21374,271,20785,215,202,4289,95433,0,5143,-7712,1275,92,6167,165,-803,342,5617,2.3748,-8.8797,6.3436,51.3966,42.1877,330,-79.9005,8.6648,6.2539,1,0,1,1,1,1,0,1,1
40022,610U300US40022,78069,64249,3989,2117,1407,0,40,2712,3555,610U600US40022,102250,76597,4341,2157,4092,50,288,6300,8425,0,24181,12348,352,40,2685,50,248,3588,4870,30.9739,19.219,8.8243,1.8895,190.8316,0,620,132.3009,136.9902,1,1,1,1,1,1,1,1,1
40034,610U300US40034,78881,52305,4191,5051,1236,0,34,5317,10747,610U600US40034,88678,55292,4991,5628,2110,44,252,6784,13577,0,9797,2987,800,577,874,44,218,1467,2830,12.42,5.7107,19.0885,11.4235,70.712,0,641.1765,27.5907,26.3329,1,1,1,1,1,1,1,1,1
8034,610U300US08034,140786,60199,5024,993,3069,48,167,1592,69694,610U600US08034,164687,79781,6976,1082,3725,110,197,2970,69846,0,23901,19582,1952,89,656,62,30,1378,152,16.9768,32.5288,38.8535,8.9627,21.375,129.1667,17.9641,86.5578,0.2181,1,1,1,1,1,1,1,1,1
32009,610U300US32009,130365,67010,10194,684,27328,428,147,4515,20059,610U600US32009,182625,80423,15485,654,39038,1413,813,10510,34289,0,52260,13413,5291,-30,11710,985,666,5995,14230,40.0874,20.0164,51.9031,-4.386,42.8498,230.1402,453.0612,132.7796,70.9407,1,1,1,0,1,1,1,1,1
45017,610U300US45017,104674,54142,45171,959,289,29,77,1649,2358,610U600US45017,104979,54971,43946,1161,343,14,139,1471,2934,0,305,829,-1225,202,54,-15,62,-178,576,0.2914,1.5312,-2.7119,21.0636,18.6851,-51.7241,80.5195,-10.7944,24.4275,1,1,0,1,1,0,1,0,1
29029,610U300US29029,180773,159821,456,1476,889,153,66,7125,10787,610U600US29029,183245,160976,1501,1896,1431,608,124,3913,12796,0,2472,1155,1045,420,542,455,58,-3212,2009,1.3675,0.7227,229.1667,28.4553,60.9674,297.3856,87.8788,-45.0807,18.6243,1,1,1,1,1,1,1,0,1
29027,610U300US29027,172035,154993,10005,325,1297,97,138,2144,3036,610U600US29027,173914,153655,10594,420,1856,32,166,3369,3822,0,1879,-1338,589,95,559,-65,28,1225,786,1.0922,-0.8633,5.8871,29.2308,43.0995,-67.0103,20.2899,57.1362,25.8893,1,0,1,1,1,0,1,1,1
29030,610U300US29030,178335,155070,7026,926,3148,355,104,5125,6581,610U600US29030,188122,160522,8301,1092,3859,64,194,5962,8128,0,9787,5452,1275,166,711,-291,90,837,1547,5.488,3.5158,18.1469,17.9266,22.5858,-81.9718,86.5385,16.3317,23.5071,1,1,1,1,1,0,1,1,1
38046,610U300US38046,15332,14042,236,46,242,0,0,276,490,610U600US38046,16606,14719,814,84,277,0,12,189,511,0,1274,677,578,38,35,0,12,-87,21,8.3094,4.8213,244.9153,82.6087,14.4628,0,0,-31.5217,4.2857,1,1,1,1,1,0,1,0,1
17040,610U300US17040,216898,131058,55476,312,2146,22,275,4152,23457,610U600US17040,217640,126522,57691,205,1769,18,688,3622,27125,0,742,-4536,2215,-107,-377,-4,413,-530,3668,0.3421,-3.4611,3.9927,-34.2949,-17.5676,-18.1818,150.1818,-12.7649,15.6371,1,0,1,0,0,0,1,0,1
19019,610U300US19019,60995,56643,550,20,1066,0,33,1467,1216,610U600US19019,79519,71545,2200,58,1555,0,16,1711,2434,0,18524,14902,1650,38,489,0,-17,244,1218,30.3697,26.3086,300,190,45.8724,0,-51.5152,16.6326,100.1645,1,1,1,1,1,0,0,1,1
