nta,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
QN68,254,3986,6416,6.372303061,3.958852868
QN70,895,14125,22475,6.336283186,3.982202447
QN71,317,4968,7736,6.380837359,4.097724922
QN72,570,9658,15768,5.901843032,3.614916286
QN76,364,8302,13635,4.384485666,2.669600293
SI01,750,9911,14579,7.56734941,5.14438576
SI05,824,10992,17104,7.49636099,4.817586529
SI07,583,8883,12486,6.563098052,4.669229537
SI08,291,5200,8167,5.596153846,3.563119873
SI11,628,6745,9720,9.310600445,6.46090535
SI12,408,6915,11624,5.90021692,3.509979353
SI14,317,3737,6024,8.482740166,5.262284197
SI22,406,8086,12626,5.021023992,3.215586884
SI24,648,9150,13814,7.081967213,4.690893297
SI25,582,7316,10762,7.955166758,5.407916744
SI28,286,4829,7620,5.922551253,3.75328084
SI32,590,6918,10041,8.528476438,5.875908774
SI35,281,5887,8492,4.773229149,3.308996703
SI36,604,6161,9758,9.803603311,6.18979299
SI37,399,5612,9374,7.10976479,4.256454022
SI45,531,6143,9333,8.643985024,5.68948891
SI48,703,7911,12047,8.886360763,5.835477712
SI54,1077,14276,20946,7.544130008,5.141793182
