aded,boro,nta_name,DEM,REP,ALL_OTH,total_first2016,total_voted2016,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes,winner,female_first2016,pct_female_first2016,female_first2016_dem,female_first2016_rep,male_first2016,pct_male_first2016,male_first2016_dem,male_first2016_rep
24015,Queens,Bellerose,14,3,2,19,417,4.56,73.68,15.79,10.53,128,267,427,clinton,13,68.42105263,11,1,6,31.57894737,3,2
24016,Queens,Oakland Gardens,13,4,8,25,341,7.33,52,16,32,102,226,364,clinton,14,56,8,3,11,44,5,1
24017,Queens,Oakland Gardens,19,8,13,40,640,6.25,47.5,20,32.5,215,420,730,clinton,24,60,15,3,16,40,4,5
24018,Queens,Oakland Gardens,7,5,9,21,439,4.78,33.33,23.81,42.86,273,539,875,clinton,12,57.14285714,5,1,9,42.85714286,2,4
24019,Queens,Oakland Gardens,13,2,10,25,635,3.94,52,8,40,275,477,817,clinton,17,68,10,1,8,32,3,1
24020,Queens,Oakland Gardens,15,3,8,26,741,3.51,57.69,11.54,30.77,256,472,792,clinton,15,57.69230769,9,1,11,42.30769231,6,2
24021,Queens,Oakland Gardens,10,7,3,20,656,3.05,50,35,15,250,488,814,clinton,8,40,5,1,12,60,5,6
24022,Queens,Oakland Gardens,14,1,8,23,524,4.39,60.87,4.35,34.78,119,255,426,clinton,9,39.13043478,8,1,14,60.86956522,6,0
24023,Queens,Oakland Gardens,2,,4,6,90,6.67,33.33,0,66.67,31,61,104,clinton,2,33.33333333,1,0,4,66.66666667,1,0
24024,Queens,Oakland Gardens,16,5,5,26,529,4.91,61.54,19.23,19.23,274,457,823,clinton,14,53.84615385,11,2,12,46.15384615,5,3
24025,Queens,Oakland Gardens,6,4,10,20,490,4.08,30,20,50,300,481,851,clinton,12,60,5,3,8,40,1,1
24026,Queens,Richmond Hill,7,,3,10,418,2.39,70,0,30,54,353,445,clinton,6,60,4,0,4,40,3,0
24027,Queens,Jamaica Estates-Holliswood,17,1,1,19,617,3.08,89.47,5.26,5.26,34,651,732,clinton,8,42.10526316,8,0,11,57.89473684,9,1
24028,Queens,Jamaica Estates-Holliswood,18,1,4,23,556,4.14,78.26,4.35,17.39,204,338,592,clinton,9,39.13043478,6,0,14,60.86956522,12,1
24029,Queens,Jamaica Estates-Holliswood,13,5,3,21,613,3.43,61.9,23.81,14.29,148,617,833,clinton,12,57.14285714,7,3,9,42.85714286,6,2
24030,Queens,Jamaica Estates-Holliswood,13,5,6,24,667,3.6,54.17,20.83,25,106,669,837,clinton,11,45.83333333,7,3,13,54.16666667,6,2
24031,Queens,Jamaica Estates-Holliswood,12,1,1,14,366,3.83,85.71,7.14,7.14,63,292,390,clinton,8,57.14285714,8,0,6,42.85714286,4,1
24032,Queens,Jamaica Estates-Holliswood,3,1,3,7,318,2.2,42.86,14.29,42.86,151,157,337,clinton,3,42.85714286,2,1,4,57.14285714,1,0
