aded,boro,nta_name,BLK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR,total_first2016,total_voted_reg2008,total_voted2016,pct_total_first2016_total_voted_reg2008,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes
27084,Queens,Pomonok-Flushing Heights-Hillcrest,1,,5,,,,,2,,,8,396,518,2.02,1.54,62.5,25,12.5,0,0,0
27085,Queens,Pomonok-Flushing Heights-Hillcrest,3,,10,,,,,,,,13,296,389,4.39,3.34,76.92,0,23.08,0,0,0
27086,Queens,Forest Hills,5,,11,1,,,,8,,,25,327,476,7.65,5.25,44,32,24,0,0,0
27087,Queens,College Point,7,,11,,1,,,7,,,26,345,511,7.54,5.09,42.31,26.92,30.77,0,0,0
27088,Queens,Kew Gardens,2,,14,,,,,2,,,18,189,307,9.52,5.86,77.78,11.11,11.11,0,0,0
27089,Queens,Kew Gardens Hills,2,,6,,,,,5,,,13,236,320,5.51,4.06,46.15,38.46,15.38,0,0,0
28001,Queens,Richmond Hill,1,,14,1,,,,1,,,17,263,415,6.46,4.1,82.35,5.88,11.76,60,360,461
28002,Queens,Richmond Hill,2,1,4,,1,,,2,,,10,203,306,4.93,3.27,40,20,40,66,233,316
28003,Queens,Richmond Hill,1,1,18,,3,,,2,,,25,434,637,5.76,3.92,72,8,20,160,458,677
28004,Queens,Richmond Hill,2,,9,,,,,3,,,14,188,318,7.45,4.4,64.29,21.43,14.29,80,229,327
28005,Queens,Richmond Hill,3,,6,,,,,,,,9,139,247,6.47,3.64,66.67,0,33.33,47,193,278
28006,Queens,Glendale,9,,23,,2,,,6,,,40,340,550,11.76,7.27,57.5,15,27.5,148,226,417
28007,Queens,Richmond Hill,1,,10,,,,,1,,,12,171,293,7.02,4.1,83.33,8.33,8.33,82,200,311
28008,Queens,Richmond Hill,1,,2,,,,,1,,,4,106,142,3.77,2.82,50,25,25,78,50,147
28009,Queens,Richmond Hill,4,,6,,1,,,2,,,13,316,435,4.11,2.99,46.15,15.38,38.46,126,288,456
28010,Queens,Richmond Hill,5,,7,,1,,,6,,,19,384,528,4.95,3.6,36.84,31.58,31.58,166,339,613
28011,Queens,Kew Gardens,3,,10,,1,,,4,,,18,294,522,6.12,3.45,55.56,22.22,22.22,149,366,577
28012,Queens,Kew Gardens,4,,8,,2,,,3,,,17,346,447,4.91,3.8,47.06,17.65,35.29,94,323,482
28014,Queens,Ridgewood,7,1,6,,,,,2,,,16,274,507,5.84,3.16,37.5,12.5,50,145,336,529
28015,Queens,Glendale,5,,12,,,,,3,,,20,474,643,4.22,3.11,60,15,25,302,339,733
28016,Queens,Glendale,7,,12,,,,,8,,,27,555,734,4.86,3.68,44.44,29.63,25.93,425,283,764
28017,Queens,Glendale,8,,9,,,,,10,,,27,470,658,5.74,4.1,33.33,37.04,29.63,324,324,719
28018,Queens,Forest Hills,4,,11,,1,,,4,,,20,368,552,5.43,3.62,55,20,25,282,496,876
28019,Queens,Forest Hills,8,,11,,2,,,6,,,27,468,621,5.77,4.35,40.74,22.22,37.04,224,549,859
28020,Queens,Forest Hills,6,,13,,1,,,2,,,22,445,636,4.94,3.46,59.09,9.09,31.82,144,601,858
28021,Queens,Forest Hills,6,,10,,1,,,6,,,23,399,557,5.76,4.13,43.48,26.09,30.43,263,506,881
28022,Queens,Forest Hills,5,,21,,,,,3,,,29,596,803,4.87,3.61,72.41,10.34,17.24,194,565,879
28023,Queens,Forest Hills,1,,14,,,,,3,,,18,470,698,3.83,2.58,77.78,16.67,5.56,123,633,865
28024,Queens,Forest Hills,4,,11,,,,,3,,,18,372,522,4.84,3.45,61.11,16.67,22.22,91,322,460
28025,Queens,Forest Hills,8,,13,,,,,5,,1,27,472,742,5.72,3.64,48.15,18.52,33.33,139,551,810
28026,Queens,Forest Hills,2,,11,,2,,,,,,15,199,345,7.54,4.35,73.33,0,26.67,49,284,377
28027,Queens,Forest Hills,4,,5,1,1,,,3,,,14,213,364,6.57,3.85,35.71,21.43,42.86,79,268,394
28028,Queens,Forest Hills,9,1,16,,1,,,2,,,29,506,710,5.73,4.08,55.17,6.9,37.93,192,576,870
28029,Queens,Forest Hills,3,1,15,,2,,,8,,,29,481,651,6.03,4.45,51.72,27.59,20.69,113,442,613
28030,Queens,Forest Hills,11,,11,,2,,,5,,,29,378,554,7.67,5.23,37.93,17.24,44.83,99,431,625
28031,Queens,Forest Hills,11,1,19,,1,,,2,,,34,578,787,5.88,4.32,55.88,5.88,38.24,157,603,878
28032,Queens,Forest Hills,7,,6,,1,,,5,,,19,322,415,5.9,4.58,31.58,26.32,42.11,135,274,447
28033,Queens,Forest Hills,,,1,,,,,1,,,2,15,18,13.33,11.11,50,50,0,9,9,18
28035,Queens,Forest Hills,7,,13,,,,,7,,,27,512,746,5.27,3.62,48.15,25.93,25.93,200,530,847
28036,Queens,Forest Hills,9,,14,,1,,,5,,,29,489,745,5.93,3.89,48.28,17.24,34.48,129,570,790
28037,Queens,Forest Hills,8,,13,,3,,,2,,,26,409,597,6.36,4.36,50,7.69,42.31,158,412,646
28038,Queens,Forest Hills,5,,6,,,,,3,,,14,329,588,4.26,2.38,42.86,21.43,35.71,184,586,859
28039,Queens,Forest Hills,2,,9,,,,,4,,,15,280,411,5.36,3.65,60,26.67,13.33,195,599,910
28040,Queens,Forest Hills,3,,10,,1,,,5,,,19,402,599,4.73,3.17,52.63,26.32,21.05,195,504,798
28041,Queens,Forest Hills,3,,13,,1,,,4,,,21,335,535,6.27,3.93,61.9,19.05,19.05,231,487,830
28042,Queens,Forest Hills,4,,10,,,,,1,,,15,471,713,3.18,2.1,66.67,6.67,26.67,152,587,852
28043,Queens,Forest Hills,7,,13,,,,,7,,,27,429,602,6.29,4.49,48.15,25.93,25.93,167,414,656
28044,Queens,Forest Hills,6,,7,,,,,2,,,15,267,380,5.62,3.95,46.67,13.33,40,197,524,821
28045,Queens,Forest Hills,5,,9,,1,,,1,,,16,391,548,4.09,2.92,56.25,6.25,37.5,249,404,754
28046,Queens,Forest Hills,4,,11,,,,,5,,,20,327,482,6.12,4.15,55,25,20,229,419,743
28047,Queens,Forest Hills,11,,9,,,,,4,,,24,555,773,4.32,3.1,37.5,16.67,45.83,206,605,919
28048,Queens,Forest Hills,8,,5,,1,,,2,,,16,550,725,2.91,2.21,31.25,12.5,56.25,160,476,702
28049,Queens,Forest Hills,2,,10,,,,,4,,,16,317,472,5.05,3.39,62.5,25,12.5,143,307,512
28050,Queens,Forest Hills,5,,9,,1,1,,7,,,23,385,618,5.97,3.72,39.13,30.43,30.43,186,409,659
28051,Queens,Rego Park,7,,13,,2,,,1,,,23,387,612,5.94,3.76,56.52,4.35,39.13,215,379,672
28052,Queens,Forest Hills,5,,9,,,,,7,,,21,186,264,11.29,7.95,42.86,33.33,23.81,199,124,352
28053,Queens,Forest Hills,9,,8,,4,,,9,,,30,345,502,8.7,5.98,26.67,30,43.33,226,259,555
28054,Queens,Rego Park,4,,10,,1,,,1,,,16,253,433,6.32,3.7,62.5,6.25,31.25,64,179,281
28055,Queens,Forest Hills,4,,12,,,,,2,,,18,172,265,10.47,6.79,66.67,11.11,22.22,46,118,175
28056,Queens,Rego Park,8,,22,,,,,4,,,34,367,651,9.26,5.22,64.71,11.76,23.53,147,425,633
28057,Queens,Rego Park,6,,11,,,,,5,,,22,272,421,8.09,5.23,50,22.73,27.27,124,272,453
28058,Queens,Rego Park,9,,8,,1,,,4,,,22,278,433,7.91,5.08,36.36,18.18,45.45,123,290,459
28059,Queens,Rego Park,2,,3,,,,,,,,5,41,64,12.2,7.81,60,0,40,9,55,68
28060,Queens,Rego Park,6,,4,,,,,1,,,11,216,364,5.09,3.02,36.36,9.09,54.55,198,491,758
28061,Queens,Rego Park,7,,18,,1,,,11,,,37,395,575,9.37,6.43,48.65,29.73,21.62,204,355,607
28062,Queens,Rego Park,3,,14,,1,1,,1,,,20,305,440,6.56,4.55,70,5,25,243,416,723
28063,Queens,Forest Hills,10,2,7,,2,,,2,,,23,397,575,5.79,4,30.43,8.7,60.87,253,390,727
