aded,trump,johnson,clinton,stein,total,winner
26071,98,3,402,1,543,clinton
26072,218,11,384,12,667,clinton
26073,189,5,779,3,1054,clinton
26074,143,8,370,8,583,clinton
26075,214,12,430,6,698,clinton
26076,207,6,391,10,639,clinton
26077,0,0,0,0,0,null
26078,0,0,0,0,0,null
27001,401,13,129,7,614,trump
27002,84,6,640,9,794,clinton
27003,198,9,507,15,796,clinton
27004,201,10,512,20,827,clinton
27005,213,14,427,19,727,clinton
27006,161,19,635,23,948,clinton
27007,118,8,510,17,723,clinton
27008,147,7,583,16,841,clinton
27009,106,13,621,11,836,clinton
27010,10,0,34,0,50,clinton
27011,34,1,295,1,361,clinton
27012,150,6,507,10,747,clinton
27013,140,6,551,13,785,clinton
27014,131,17,577,23,796,clinton
27015,118,8,608,11,824,clinton
27016,82,4,215,10,338,clinton
27017,57,4,177,0,245,clinton
27018,28,0,38,1,73,clinton
27019,119,9,433,3,692,clinton
27020,128,14,526,10,741,clinton
27021,114,11,509,10,701,clinton
27022,203,9,305,8,611,clinton
27023,390,5,235,2,672,trump
27024,299,12,241,3,603,trump
27025,410,7,113,2,594,trump
27026,331,11,139,3,557,trump
27027,381,14,167,7,636,trump
27028,206,8,396,5,680,clinton
27029,97,3,255,3,375,clinton
27030,261,9,164,3,495,trump
27031,13,0,58,2,74,clinton
27032,17,1,69,0,90,clinton
27033,14,0,68,0,96,clinton
27034,71,5,231,3,390,clinton
27035,162,6,501,8,745,clinton
27036,229,16,386,8,694,clinton
27037,114,2,515,17,716,clinton
27038,140,9,648,6,861,clinton
27039,99,8,466,15,627,clinton
27040,81,4,545,7,707,clinton
27041,47,5,527,7,626,clinton
27042,124,9,503,10,680,clinton
27043,137,6,182,4,366,clinton
27044,113,4,343,7,496,clinton
27045,133,8,494,8,688,clinton
27046,107,2,92,3,235,trump
27047,180,7,447,13,700,clinton
27048,261,13,329,10,663,clinton
27049,261,11,320,8,645,clinton
27050,197,3,265,6,510,clinton
27051,537,16,260,4,878,trump
27052,171,10,353,8,573,clinton
27053,215,2,258,6,529,clinton
27054,152,5,244,5,556,clinton
27055,115,2,282,9,428,clinton
27056,88,1,312,0,425,clinton
27057,240,4,117,3,396,trump
27058,0,0,0,0,0,null
27059,245,8,292,10,593,clinton
27060,122,3,280,8,509,clinton
27061,161,7,332,12,537,clinton
27062,158,5,322,7,519,clinton
27063,203,9,393,13,661,clinton
27064,200,10,469,10,735,clinton
27065,251,11,370,9,682,clinton
27066,224,12,392,6,689,clinton
27067,211,8,405,16,671,clinton
27068,247,5,360,10,651,clinton
27069,0,0,0,0,0,null
27070,0,0,0,0,0,null
27071,0,0,0,0,0,null
27072,0,0,0,0,0,null
27073,0,0,0,0,0,null
27074,0,0,0,0,0,null
27075,0,0,0,0,0,null
27076,0,0,0,0,0,null
27077,0,0,0,0,0,null
27078,0,0,0,0,0,null
27079,95,4,296,2,432,clinton
27080,123,4,305,12,473,clinton
27081,228,6,352,5,618,clinton
28001,60,4,360,5,461,clinton
28002,66,2,233,0,316,clinton
28003,160,15,458,4,677,clinton
28004,80,3,229,3,327,clinton
28005,47,2,193,6,278,clinton
28006,148,9,226,14,417,clinton
28007,82,1,200,5,311,clinton
